"ServiceName","DisplayName","PathName","StartMode","State","Vulnerabilities","ServicePermissions"
"NcbService","Network Connection Broker","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Running","Unquoted Service Path","System.Object[]"
"NcdAutoSetup","Network Connected Devices Auto-Setup","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"Netman","Network Connections","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Running","Unquoted Service Path","System.Object[]"
"netprofm","Network List Service","C:\WINDOWS\System32\svchost.exe -k netprofm -p","Manual","Running","Unquoted Service Path","System.Object[]"
"NetSetupSvc","Network Setup Service","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Stopped","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"NgcCtnrSvc","Microsoft Passport Container","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","Running","Unquoted Service Path","System.Object[]"
"NgcSvc","Microsoft Passport","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"NlaSvc","Network Location Awareness","C:\WINDOWS\System32\svchost.exe -k netprofm -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"nsi","Network Store Interface Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Auto","Running","Unquoted Service Path","System.Object[]"
"nvagent","Network Virtualization Service","C:\WINDOWS\system32\svchost.exe -k NetSvcs","Manual","Running","Unquoted Service Path","System.Object[]"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_6fd074e02d655c70\Display.NvContainer\NVDisplay.Container.exe -s NVDisplay.ContainerLocalSystem -f C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log -l 3 -d C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_6fd074e02d655c70\Display.NvContainer\plugins\LocalSystem -r -p 30000 -cfg NVDisplay.ContainerLocalSystem\LocalSystem","Auto","Running","Unquoted Service Path","System.Object[]"
"OfficeSvcManagerAddons","OfficeSvcManagerAddons","C:\Windows\system32\dllhost.exe /Processid:{2CA2E202-932F-4BA2-8771-195BB86398F5}","Manual","Stopped","Unquoted Service Path","System.Object[]"
"p2pimsvc","Peer Networking Identity Manager","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Manual","Stopped","Unquoted Service Path",
"p2psvc","Peer Networking Grouping","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Manual","Stopped","Unquoted Service Path",
"PcaSvc","Program Compatibility Assistant Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Auto","Running","Unquoted Service Path","System.Object[]"
"PeerDistSvc","BranchCache","C:\WINDOWS\System32\svchost.exe -k PeerDist","Manual","Stopped","Unquoted Service Path",
"PhoneSvc","Phone Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","Stopped","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"pla","Performance Logs & Alerts","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","Manual","Stopped","Unquoted Service Path",
"PlexUpdateService","Plex Update Service","C:\Program Files\Plex\Plex Media Server\Plex Update Service.exe","Auto","Running","Unquoted Service Path","System.Object[]"
"PlugPlay","Plug and Play","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Manual","Running","Unquoted Service Path","System.Object[]"
"PNRPAutoReg","PNRP Machine Name Publication Service","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Manual","Stopped","Unquoted Service Path",
"PNRPsvc","Peer Name Resolution Protocol","C:\WINDOWS\System32\svchost.exe -k LocalServicePeerNet","Manual","Stopped","Unquoted Service Path",
"PolicyAgent","IPsec Policy Agent","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p","Manual","Running","Unquoted Service Path","System.Object[]"
"Power","Power","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Auto","Running","Unquoted Service Path","System.Object[]"
"PrintNotify","Printer Extensions and Notifications","C:\WINDOWS\system32\svchost.exe -k print","Manual","Stopped","Unquoted Service Path","System.Object[]"
"ProfSvc","User Profile Service","C:\WINDOWS\system32\svchost.exe -k UserProfileService -p","Auto","Running","Unquoted Service Path","System.Object[]"
"PushToInstall","Windows PushToInstall Service","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"QWAVE","Quality Windows Audio Video Experience","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Manual","Running","Unquoted Service Path","System.Object[]"
"RasAuto","Remote Access Auto Connection Manager","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"RasMan","Remote Access Connection Manager","C:\WINDOWS\System32\svchost.exe -k netsvcs","Auto","Running","Unquoted Service Path",
"RemoteAccess","Routing and Remote Access","C:\WINDOWS\System32\svchost.exe -k netsvcs","Disabled","Stopped","Unquoted Service Path","System.Object[]"
"RemoteRegistry","Remote Registry","C:\WINDOWS\system32\svchost.exe -k localService -p","Auto","Stopped","Unquoted Service Path","System.Object[]"
"RetailDemo","Retail Demo Service","C:\WINDOWS\System32\svchost.exe -k rdxgroup","Manual","Stopped","Unquoted Service Path","System.Object[]"
"RmSvc","Radio Management Service","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted","Manual","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"RpcEptMapper","RPC Endpoint Mapper","C:\WINDOWS\system32\svchost.exe -k RPCSS -p","Auto","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"RpcSs","Remote Procedure Call (RPC)","C:\WINDOWS\system32\svchost.exe -k rpcss -p","Auto","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"SamSs","Security Accounts Manager","C:\WINDOWS\system32\lsass.exe","Auto","Running","Vulnerable Service Permissions","System.Object[]"
"SCardSvr","Smart Card","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation","Manual","Running","Unquoted Service Path","System.Object[]"
"ScDeviceEnum","Smart Card Device Enumeration Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted","Manual","Stopped","Unquoted Service Path","System.Object[]"
"Schedule","Task Scheduler","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Auto","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"SCPolicySvc","Smart Card Removal Policy","C:\WINDOWS\system32\svchost.exe -k netsvcs","Manual","Stopped","Unquoted Service Path","System.Object[]"
"SDRSVC","Windows Backup","C:\WINDOWS\system32\svchost.exe -k SDRSVC","Manual","Stopped","Unquoted Service Path","System.Object[]"
"seclogon","Secondary Logon","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"SecurityHealthService","Windows Security Service","C:\WINDOWS\system32\SecurityHealthService.exe","Manual","Running","Vulnerable Service Permissions","System.Object[]"
"SEMgrSvc","Payments and NFC/SE Manager","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","Stopped","Unquoted Service Path",
"SENS","System Event Notification Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Auto","Running","Unquoted Service Path",
"SensorService","Sensor Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"SensrSvc","Sensor Monitoring Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"SessionEnv","Remote Desktop Configuration","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Running","Unquoted Service Path",
"SharedAccess","Internet Connection Sharing (ICS)","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","Running","Unquoted Service Path","System.Object[]"
"SharedRealitySvc","Spatial Data Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"ShellHWDetection","Shell Hardware Detection","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Auto","Running","Unquoted Service Path","System.Object[]"
"shpamsvc","Shared PC Account Manager","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Disabled","Stopped","Unquoted Service Path","System.Object[]"
"smphost","Microsoft Storage Spaces SMP","C:\WINDOWS\System32\svchost.exe -k smphost","Manual","Stopped","Unquoted Service Path",
"SmsRouter","Microsoft Windows SMS Router Service.","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","Stopped","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"smstsmgr","ConfigMgr Task Sequence Agent","C:\Windows\CCM\TSManager.exe /service","Manual","Stopped","Unquoted Service Path","System.Object[]"
"SSDPSRV","SSDP Discovery","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Manual","Running","Unquoted Service Path",
"SstpSvc","Secure Socket Tunneling Protocol Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","Running","Unquoted Service Path",
"StateRepository","State Repository Service","C:\WINDOWS\system32\svchost.exe -k appmodel -p","Auto","Running","Unquoted Service Path","System.Object[]"
"StiSvc","Windows Image Acquisition (WIA)","C:\WINDOWS\system32\svchost.exe -k imgsvc","Auto","Running","Unquoted Service Path","System.Object[]"
"StorSvc","Storage Service","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Auto","Running","Unquoted Service Path","System.Object[]"
"svsvc","Spot Verifier","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"swprv","Microsoft Software Shadow Copy Provider","C:\WINDOWS\System32\svchost.exe -k swprv","Manual","Stopped","Unquoted Service Path","System.Object[]"
"SysMain","SysMain","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Auto","Running","Unquoted Service Path","System.Object[]"
"SystemEventsBroker","System Events Broker","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Auto","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"TapiSrv","Telephony","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"TermService","Remote Desktop Services","C:\WINDOWS\System32\svchost.exe -k NetworkService","Manual","Running","Unquoted Service Path","System.Object[]"
"TextInputManagementService","Text Input Management Service","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Auto","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"Themes","Themes","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Auto","Running","Unquoted Service Path","System.Object[]"
"TimeBrokerSvc","Time Broker","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","Running","Unquoted Service Path, Vulnerable Service Permissions","System.Object[]"
"TokenBroker","Web Account Manager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","Running","Unquoted Service Path","System.Object[]"
"TrkWks","Distributed Link Tracking Client","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Auto","Running","Unquoted Service Path","System.Object[]"
"TroubleshootingSvc","Recommended Troubleshooting Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"tvnserver","TightVNC Server","""C:\Program Files\TightVNC\tvnserver.exe"" -service","Auto","Running","Unquoted Service Path","System.Object[]"
"tzautoupdate","Auto Time Zone Updater","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Disabled","Stopped","Unquoted Service Path","System.Object[]"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Running","Unquoted Service Path","System.Object[]"
"upnphost","UPnP Device Host","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Manual","Stopped","Unquoted Service Path",
"UserManager","User Manager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Auto","Running","Unquoted Service Path","System.Object[]"
"UsoSvc","Update Orchestrator Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Auto","Running","Unquoted Service Path","System.Object[]"
"VacSvc","Volumetric Audio Compositor Service","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"vmicguestinterface","Hyper-V Guest Service Interface","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"vmicheartbeat","Hyper-V Heartbeat Service","C:\WINDOWS\system32\svchost.exe -k ICService -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"vmickvpexchange","Hyper-V Data Exchange Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
